message,persuasive_type,activity,char_count,word_count,sentence_count,avg_word_length,avg_sentence_length,unique_word_ratio,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,automated_readability_index,coleman_liau_index,noun_count,verb_count,adj_count,adv_count,word_diversity,has_question,has_exclamation,has_numbers,starts_with_verb,ends_with_call_to_action,sentiment_polarity,sentiment_subjectivity,persuasive_type_encoded,persuasive_type_praise,persuasive_type_reminder,persuasive_type_reward,persuasive_type_suggestion,activity_encoded,activity_healthy eating,activity_meal planning,activity_portion control,activity_water intake
"Great job with your healthy eating!

I've been using this recipe for years. It's easy to make and it really does help you lose weight. This one is great for those of us who are just starting out and don't want to",praise,healthy eating,0.7458333333,0.9534883721,0.375,0.2094094602,0.1904761905,0.8125,0.9519512745,0.1097560976,0.1332525742,0.4109589041,0.1759656652,0.1816751868,0.25,0.9285714286,0.4444444444,0.375,0.6705882353,FALSE,TRUE,FALSE,FALSE,FALSE,0.6259920635,0.5222222222,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Great job with your healthy eating! I recommend trying a variety of different foods. And if you're looking for some healthy snacks and treats, I'd definitely recommend starting at one of the more popular grocery stores. I think we all know the difference between",praise,healthy eating,0.9541666667,1,0.375,0.4612013929,0.2023809524,0.685,0.564516129,0.4085365854,0.3658388855,0.7328767123,0.3733905579,0.4077860794,0.5,0.5714285714,0.6666666667,0.125,0.6240409207,FALSE,TRUE,FALSE,FALSE,FALSE,0.5558035714,0.54375,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Try to improve your meal planning by following these simple steps:

1. Set up your website and setup your Facebook profile.
 (This is a common mistake that people make when using Facebook.)
 ""Facebook"" is the name of your company",suggestion,meal planning,0.8166666667,0.9302325581,0.375,0.3598498413,0.1845238095,0.6170212766,0.6736972705,0.3109756098,0.1162931557,0.4931506849,0.313304721,0.3460479748,0.5625,0.5714285714,0.2222222222,0,0.6199095023,FALSE,FALSE,TRUE,TRUE,FALSE,0.2142857143,0.319047619,3,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
"Try to improve your healthy eating by using low-carb or ketogenic diets instead of traditional diets.

There are many benefits to using an alternative to traditional dietary approaches. First, it's not that you should avoid foods containing processed or high-",suggestion,healthy eating,0.9416666667,0.8604651163,0.25,0.6405911993,0.253968254,0.6420454545,0.3473945409,0.6097560976,0.5645063598,0.8150684932,0.5236051502,0.5312622886,0.375,0.6428571429,0.8888888889,0.375,0.6384505022,FALSE,FALSE,FALSE,TRUE,FALSE,0.4535714286,0.5622222222,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
"Great job with your water intake!

I'm using a pump that I bought from a local water supplier. The pump is very easy to use, so I don't need to worry about using it to clean my tap water. It is also",praise,water intake,0.6875,0.9534883721,0.375,0.1218078932,0.1904761905,0.484375,0.7611098579,0.25,0.1907934585,0.4109589041,0.1072961373,0.1065670468,0.4375,0.7857142857,0.4444444444,0.375,0.3823529412,FALSE,TRUE,FALSE,FALSE,FALSE,0.6303571429,0.6125,0,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Great job with your healthy eating! You may need to increase the amount of fruit and vegetables in your diet.

What does this mean for you?
: If you have a history of heart disease, do not eat a lot of fruits and",praise,healthy eating,0.7458333333,0.9302325581,0.375,0.2256516961,0.1845238095,0.7127659574,0.8565305662,0.1829268293,0.1907934585,0.4931506849,0.1716738197,0.1816751868,0.6875,0.4285714286,0.2222222222,0.125,0.5882352941,TRUE,TRUE,FALSE,FALSE,FALSE,0.5505952381,0.6458333333,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Try to improve your meal planning by reading this article from Healthy Foodie Magazine, and follow us on Facebook and Twitter.",suggestion,meal planning,0.3875,0.3720930233,0,0.5298897272,0.4523809524,0.902173913,0.4500338371,0.6463414634,0.5027256208,0,0.6051502146,0.4793550924,0.125,0.2857142857,0,0,0.8823529412,FALSE,FALSE,FALSE,TRUE,TRUE,0.6428571429,0.5,3,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
"Great job with your healthy eating!

If you're new to Paleo, I'd recommend checking out my ""The Paleo Diet"" series (which focuses on healthy and healthy Paleo eating) and finding some of my other books.
, and
",praise,healthy eating,0.7333333333,0.9069767442,0.25,0.2752466628,0.2698412698,0.5597826087,0.5798556282,0.506097561,0.4494245912,0,0.4763948498,0.3582383012,0.25,0.3571428571,0.6666666667,0,0.479876161,FALSE,TRUE,FALSE,FALSE,FALSE,0.5757575758,0.5132575758,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Don't forget to monitor your portion control. Don't get caught when you're not able to use your body to your advantage.

You may also want to consider using your head on your lap, to help you focus on the task at hand",reminder,portion control,0.7666666667,0.9534883721,0.25,0.2406957342,0.2857142857,0.390625,0.7210692533,0.3353658537,0.3912780133,0.602739726,0.2746781116,0.2438065277,0.4375,0.9285714286,0.1111111111,0.5,0.2862745098,FALSE,FALSE,FALSE,TRUE,FALSE,0.1071428571,0.625,1,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Great job with your meal planning!


We will have a great team of people on site, so stay tuned for more announcements on the site.

 (The food is always available at the restaurant, but can be ordered at any time before or",praise,meal planning,0.7916666667,0.9302325581,0.25,0.2831651869,0.2777777778,0.7606382979,0.8164899617,0.262195122,0.2755905512,0.4383561644,0.2875536481,0.2666142352,0.625,0.3571428571,0.5555555556,0.25,0.6470588235,FALSE,TRUE,FALSE,FALSE,FALSE,0.7678571429,0.6,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Great job with your meal planning!


The best way to do this is to use the meal planner as a resource. It is best to have a few things in your house that will help you with things like the timing of meals and the amount",praise,meal planning,0.775,0.9534883721,0.25,0.2219239698,0.2857142857,0.484375,0.8970223325,0.2256097561,0.2495457299,0.2123287671,0.2188841202,0.1710578057,0.75,0.4285714286,0.3333333333,0.125,0.3554987212,FALSE,TRUE,FALSE,FALSE,FALSE,0.7857142857,0.3625,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"By maintaining meal planning, you'll feel better.

As you eat more, your body will grow and you will feel healthier. And by eating more you can maintain your weight.


How to Weight Loss
. This is the most important",reward,meal planning,0.7583333333,0.8837209302,0.5,0.3070226349,0.119047619,0.45,0.7942702459,0.1829268293,0.1907934585,0.5205479452,0.2188841202,0.2583562721,0.1875,0.5714285714,0.3333333333,0.375,0.3665158371,FALSE,FALSE,FALSE,FALSE,FALSE,0.6285714286,0.6,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Great job with your portion control!

I have been using your service for over 3 months now. I have 2 issues:
, It takes a few minutes to run your app. This is very frustrating.
. Your app is only able",praise,portion control,0.6958333333,0.9069767442,0.625,0.183836332,0.0873015873,0.5597826087,0.8874351455,0.1158536585,0.1302241066,0.3904109589,0.1244635193,0.146677153,0.5,0.5714285714,0.4444444444,0.375,0.556561086,FALSE,TRUE,TRUE,FALSE,FALSE,0.3971428571,0.695,0,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining water intake, you'll feel better.

So, what's the difference between getting water from the aquifer and drinking it from a sewer system? Well, the problem is that there's no water in the system, and there are",reward,water intake,0.7916666667,0.9302325581,0.25,0.327897902,0.2777777778,0.3776595745,0.640424092,0.3780487805,0.2501514234,0.5342465753,0.3862660944,0.3716083366,0.5625,0.5714285714,0,0.375,0.3974175036,TRUE,FALSE,FALSE,FALSE,FALSE,0.6428571429,0.5,2,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Don't forget to monitor your meal planning.

If you're not eating enough food for a month, then you need to be careful. If you get a lot of food in a day, it's really hard to get enough to eat.",reminder,meal planning,0.6666666667,0.9534883721,0.25,0.1030361288,0.2857142857,0.34375,0.8244980826,0.25,0.2616596002,0.5342465753,0.1931330472,0.1435312623,0.375,0.7857142857,0.4444444444,0.5,0.3679890561,FALSE,FALSE,FALSE,TRUE,TRUE,0.2157738095,0.6354166667,1,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Don't forget to monitor your meal planning. It's a big part of your diet, but it may take some time for your body to start to get used to it.

You'll need to work on your eating habits, your weight loss",reminder,meal planning,0.7041666667,0.9534883721,0.25,0.1530941672,0.2857142857,0.484375,0.915294383,0.1829268293,0.2701393095,0.4383561644,0.2188841202,0.1848210775,0.375,0.7857142857,0.3333333333,0.125,0.4385026738,FALSE,FALSE,FALSE,TRUE,FALSE,0.2857142857,0.1,1,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"By maintaining water intake, you'll feel better.

This will help you control your body's heat. Your body will sweat more, and your sweat will be more efficient, so it's much easier to maintain the same amount of water. This",reward,water intake,0.7916666667,0.9534883721,0.375,0.2970110273,0.1904761905,0.34375,0.7324610873,0.3109756098,0.38037553,0.602739726,0.364806867,0.3393629571,0.4375,0.5714285714,0.4444444444,0.375,0.3529411765,FALSE,FALSE,FALSE,FALSE,FALSE,0.5285714286,0.365,2,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Don't forget to monitor your portion control.


* Please note: The data you upload is provided as is, with no guarantee that it will be final and up to date. If you have any questions or concerns, please contact us.",reminder,portion control,0.7583333333,0.9302325581,0.25,0.2576036354,0.2777777778,0.7127659574,0.637040379,0.3841463415,0.38037553,0.602739726,0.313304721,0.2870625246,0.4375,0.7857142857,0.2222222222,0.25,0.7589670014,FALSE,FALSE,FALSE,TRUE,FALSE,0.2857142857,1,1,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Try to improve your water intake by reducing your intake of calories from processed foods. If you have a low-calorie diet and are overweight or obese, you should not consume processed food because it will result in lower blood sugar. A healthy diet is",suggestion,water intake,0.9083333333,0.9302325581,0.25,0.474876823,0.2777777778,0.7127659574,0.6175276337,0.4268292683,0.2901271956,0.4383561644,0.4034334764,0.3853716083,0.5625,0.7857142857,0.4444444444,0.125,0.6631016043,FALSE,FALSE,FALSE,TRUE,FALSE,0.6428571429,0.5,3,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,TRUE
"By maintaining portion control, you'll feel better. If you're running at full speed, however, it's likely you won't be able to avoid the overhead of using the brakes.

But if you want to keep your brakes on, make",reward,portion control,0.7458333333,0.9534883721,0.25,0.2344384794,0.2857142857,0.53125,0.7358448004,0.3048780488,0.2501514234,0.5342465753,0.330472103,0.3008257963,0.3125,0.7857142857,0.3333333333,0.375,0.5882352941,FALSE,FALSE,FALSE,FALSE,FALSE,0.5267857143,0.66875,2,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Try to improve your meal planning by making sure you are using your local food processor instead of the microwave, and by using more natural ingredients to make it more efficient. You'll need to check out our post about using natural foods and ingredients for protein-",suggestion,meal planning,0.9791666667,0.976744186,0.125,0.5125670698,0.4880952381,0.5408163265,0.4271373788,0.6951219512,0.6468806784,0,0.6051502146,0.4475029493,0.5625,0.7142857143,0.6666666667,0.25,0.4217772215,FALSE,FALSE,FALSE,TRUE,FALSE,0.4880952381,0.4481481481,3,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
"Try to improve your healthy eating by eating the right foods.

Get involved in local community gardening. Local gardeners have been doing the planting and watering of the new trees in the community for over 10 years. They love it. Here are a",suggestion,healthy eating,0.8666666667,0.9302325581,0.5,0.4109729443,0.1285714286,0.5691489362,0.5920369953,0.3536585366,0.3125378558,0.602739726,0.2446351931,0.2976799056,0.5625,0.6428571429,0.5555555556,0.125,0.5978112175,FALSE,FALSE,TRUE,TRUE,FALSE,0.4550092764,0.3483766234,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
"Try to improve your water intake by consuming the right type of water. You can use a simple method such as a low-carb diet, or you can try a high-fat diet.

3. Use a Healthy Diet to Achieve Your Goals",suggestion,water intake,0.6958333333,0.8604651163,0.375,0.2378515275,0.1666666667,0.5397727273,0.7290773742,0.3170731707,0.2616596002,0.4383561644,0.2274678112,0.1934722768,0.4375,0.5,0.5555555556,0,0.2588235294,FALSE,FALSE,TRUE,TRUE,FALSE,0.4260204082,0.4732142857,3,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,TRUE
"Great job with your water intake! I've had this issue for over two years now and it's pretty common.

Rated 5 out of 5 by T. from Good quality water! This water is good quality. Water is very well kept and",praise,water intake,0.7166666667,0.9302325581,0.5,0.1936997567,0.1285714286,0.6170212766,0.8034062711,0.1646341463,0.1029678982,0.4383561644,0.08583690987,0.1073535195,0.5,0.5,0.4444444444,0.375,0.4829001368,FALSE,TRUE,TRUE,FALSE,FALSE,0.6101190476,0.625,0,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Don't forget to monitor your healthy eating. If you haven't, try this.

What if I told you that my best friend is obese? I'd be like, ""Oh, you're not going to believe me! He's actually",reminder,healthy eating,0.6291666667,0.9534883721,0.5,0.08426436448,0.1333333333,0.625,0.7805098128,0.2134146341,0.2307692308,0.4931506849,0.1802575107,0.1679119151,0.0625,0.8571428571,0.3333333333,0.5,0.6294117647,TRUE,TRUE,FALSE,TRUE,FALSE,0.6428571429,0.3,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Don't forget to monitor your water intake. Your water will be a good indicator of the amount of water you are drinking.

If you live in a rural area with low rates of sewage in your area, you should check your local water supply",reminder,water intake,0.8125,0.9534883721,0.25,0.2970110273,0.2857142857,0.390625,0.712948342,0.3536585366,0.3452453059,0.5342465753,0.2918454936,0.2599292175,0.6875,0.5714285714,0.4444444444,0.125,0.2862745098,FALSE,FALSE,FALSE,TRUE,FALSE,0.4051948052,0.28,1,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Try to improve your healthy eating by eating a lot of healthy food. Try to eat fewer calories and carbs and add a few micronutrients, such as fiber, protein, and vitamin C.

You can find a list of nutrition guidelines",suggestion,healthy eating,0.7666666667,0.8604651163,0.125,0.3538951617,0.4285714286,0.4375,0.6336566659,0.3902439024,0.3827983041,0.602739726,0.313304721,0.2961069603,0.625,0.5,0.5555555556,0,0.4441176471,FALSE,FALSE,FALSE,TRUE,FALSE,0.4285714286,0.4,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
"Great job with your portion control!

This product has a great design and does not require any additional cleaning.
, as always, the size is perfect for me and my 4 year old. I also like the ""shopping bags"" and",praise,portion control,0.7375,0.9069767442,0.375,0.2687173535,0.1785714286,0.7554347826,0.7691179788,0.237804878,0.1786795881,0.4109589041,0.2231759657,0.2453794731,0.5625,0.2857142857,0.5555555556,0.375,0.7466063348,FALSE,TRUE,TRUE,FALSE,FALSE,0.8035714286,0.675,0,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining meal planning, you'll feel better. The results are clear-cut.

2. Exercise is a great way to get back to the gym.


Advertisement - Continue Reading Below
- You can feel refreshed. There's no",reward,meal planning,0.7208333333,0.8372093023,0.625,0.3261145379,0.0753968254,0.6337209302,0.5954207083,0.3414634146,0.3737129013,0.602739726,0.3433476395,0.3613841919,0.3125,0.5714285714,0.2222222222,0.25,0.7176470588,FALSE,FALSE,TRUE,FALSE,FALSE,0.5952380952,0.4166666667,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Try to improve your portion control by switching to one of the above programs.

3. Change your daily workout plan to include a high-protein diet. If you are interested in starting this exercise program, read this article. The weight training program",suggestion,portion control,0.9,0.9069767442,0.5,0.5037724898,0.1238095238,0.6086956522,0.5725242499,0.3902439024,0.2465172623,0.602739726,0.3776824034,0.4164372788,0.625,0.5714285714,0.5555555556,0,0.6384505022,FALSE,FALSE,TRUE,TRUE,FALSE,0.3303571429,0.175,3,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
"Try to improve your healthy eating by eating well, exercising and working with your body.

1. How Do I Lose Weight?
, and
 I am sure many of you have noticed I do not include the weight loss part of this post",suggestion,healthy eating,0.7291666667,0.9069767442,0.375,0.223012188,0.1785714286,0.6086956522,0.8198736747,0.256097561,0.2701393095,0.4383561644,0.2360515021,0.2166732206,0.25,0.7857142857,0.4444444444,0.25,0.5179340029,TRUE,FALSE,TRUE,TRUE,FALSE,0.6428571429,0.6296296296,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
"Great job with your water intake!

If you have a leaky tank, a gas leak or a valve in the back of your tank that needs repair, the right way is to try to use a high quality solution such as a cleaning product",praise,water intake,0.7291666667,0.9302325581,0.125,0.1936997567,0.4642857143,0.5691489362,0.7249041281,0.4573170732,0.5221078134,0,0.356223176,0.1852143138,0.875,0.3571428571,0.5555555556,0,0.550802139,FALSE,TRUE,FALSE,FALSE,FALSE,0.492244898,0.4651428571,0,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Don't forget to monitor your water intake. The amount of time you'll need to pump through the water before you need water is dependent on your age, and your skin type.

How many gallons of water per day is too much for you",reminder,water intake,0.7875,0.9534883721,0.25,0.2657247533,0.2857142857,0.4375,0.7175727498,0.3414634146,0.3379769836,0.5342465753,0.2789699571,0.2508847818,0.6875,0.5714285714,0.3333333333,0.25,0.3411764706,FALSE,FALSE,FALSE,TRUE,FALSE,0.5357142857,0.35,1,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Try to improve your meal planning by adding these quick, easy to follow recipes to your food processor.

1. Preheat oven to 425 degrees F. Combine a cup of sugar, flour and salt in a bowl. Add butter and whisk until",suggestion,meal planning,0.7583333333,0.9069767442,0.375,0.2817759721,0.1785714286,0.5597826087,0.7633656666,0.25,0.1877649909,0.4109589041,0.2103004292,0.2272906017,0.75,0.2857142857,0.2222222222,0,0.6384505022,FALSE,FALSE,TRUE,TRUE,FALSE,0.5595238095,0.6666666667,3,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
"By maintaining meal planning, you'll feel better.

What are you going to do about it?
: It's not going away. You'll still be able to eat well, but you won't be eating well enough. Your metabolism won",reward,meal planning,0.6916666667,0.9302325581,0.5,0.180918981,0.1285714286,0.5212765957,0.7988946537,0.1768292683,0.1877649909,0.4589041096,0.1974248927,0.2013370035,0.125,0.8571428571,0.1111111111,1,0.4441176471,TRUE,FALSE,FALSE,FALSE,FALSE,0.5238095238,0.5416666667,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Don't forget to monitor your healthy eating.

What to Avoid
 (1) Eat like a champ. The only way to avoid eating like you're an idiot is to be a little more creative. If you can't stand your own eating",reminder,healthy eating,0.6958333333,0.9302325581,0.375,0.1681382053,0.1845238095,0.4255319149,0.7691179788,0.237804878,0.1786795881,0.4109589041,0.1716738197,0.1816751868,0.25,0.6428571429,0.5555555556,0.375,0.3529411765,FALSE,FALSE,TRUE,TRUE,FALSE,0.3992346939,0.7571428571,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"By maintaining meal planning, you'll feel better. It's also a good idea to have a healthy meal plan so you can enjoy them without feeling like you're spending money on them.

But you need to remember that it's not just about",reward,meal planning,0.7958333333,0.9534883721,0.25,0.2907537725,0.2857142857,0.578125,0.7244529664,0.3292682927,0.2701393095,0.5342465753,0.3261802575,0.3055446323,0.3125,0.7857142857,0.2222222222,0.5,0.5058823529,FALSE,FALSE,FALSE,FALSE,FALSE,0.6607142857,0.525,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"By maintaining healthy eating, you'll feel better. Your body will be able to produce more of your protein. It won't make you fat, but it will get you leaner.

The key is to maintain a healthy diet and exercise.",reward,healthy eating,0.7375,0.9302325581,0.375,0.2384324718,0.1845238095,0.5691489362,0.7691179788,0.237804878,0.2404603271,0.4931506849,0.2274678112,0.2453794731,0.3125,0.5714285714,0.6666666667,0.25,0.5781922525,FALSE,FALSE,FALSE,FALSE,FALSE,0.5833333333,0.6041666667,2,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"By maintaining water intake, you'll feel better.

Fishing, fishing and boating are the most important activities for many people. The cost of these activities can be prohibitive. You'll need to work to make it possible to get a",reward,water intake,0.8083333333,0.8837209302,0.375,0.4071387115,0.1726190476,0.65,0.4862395669,0.4451219512,0.3004239855,0.6917808219,0.339055794,0.373181282,0.5,0.5714285714,0.4444444444,0.25,0.5676470588,FALSE,FALSE,FALSE,FALSE,FALSE,0.5571428571,0.7,2,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Don't forget to monitor your water intake.

We also recommend a healthy diet and exercise routine. As a dietitian, you will want to keep a clean and healthy lifestyle. Keep in mind, however, that you may need to take",reminder,water intake,0.7625,0.9069767442,0.375,0.3013639002,0.1785714286,0.4619565217,0.6736972705,0.3109756098,0.3646274985,0.6506849315,0.2575107296,0.2866692882,0.375,0.6428571429,0.4444444444,0.375,0.5058823529,FALSE,FALSE,FALSE,TRUE,FALSE,0.6111111111,0.5666666667,1,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"By maintaining healthy eating, you'll feel better. And when you eat healthier, it helps to be able to go to bed at the right time.

What are some foods that can help to get you to sleep at night?
 (2",reward,healthy eating,0.6916666667,0.9302325581,0.375,0.1553574295,0.1845238095,0.5691489362,0.8244980826,0.25,0.3222289522,0.5342465753,0.2145922747,0.1777428234,0.25,0.7142857143,0.4444444444,0.125,0.5781922525,TRUE,FALSE,TRUE,FALSE,FALSE,0.6045918367,0.5401785714,2,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Try to improve your portion control by following these steps:

Try not to chew too much. (You can also try eating less, but it will be much less.)
.
 (Your diet should be moderate. If you're feeling better",suggestion,portion control,0.7166666667,0.9302325581,0.5,0.2064805325,0.1285714286,0.5691489362,0.774870291,0.2256097561,0.1695941853,0.4931506849,0.2360515021,0.2430200551,0.1875,0.7857142857,0.4444444444,0.625,0.479876161,FALSE,FALSE,FALSE,TRUE,FALSE,0.3293650794,0.2722222222,3,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
"Great job with your healthy eating!

Lunchtime Lunchtime is a great time to eat and get things done.
. It's a good time for healthy foods and drinks. The most important part of our morning is to get our heads",praise,healthy eating,0.7291666667,0.8604651163,0.5,0.2924602965,0.1142857143,0.4375,0.9599593954,0.09146341463,0.1162931557,0.4109589041,0.2103004292,0.2453794731,0.5625,0.5,0.6666666667,0.125,0.3823529412,FALSE,TRUE,FALSE,FALSE,FALSE,0.7270408163,0.6571428571,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Great job with your healthy eating!

I am a very happy vegan, veganist, and vegan eater. I have eaten so much vegan food that I believe that what you eat is your responsibility. So what are your main goals?
.",praise,healthy eating,0.7291666667,0.9069767442,0.5,0.2426001161,0.1238095238,0.4619565217,0.5782765621,0.3780487805,0.3028467595,0.6506849315,0.2103004292,0.2339756193,0.5,0.5,0.6666666667,0.25,0.4298642534,TRUE,TRUE,FALSE,FALSE,FALSE,0.6845238095,0.5566666667,0,TRUE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"By maintaining portion control, you'll feel better. You'll probably have more control over how long you stay on the job, and you can have your own private meetings with your boss, who may not have the experience to give you that experience.
",reward,portion control,0.8666666667,0.976744186,0.125,0.3654577327,0.4880952381,0.4030612245,0.5454545455,0.5731707317,0.5608721987,0,0.5407725322,0.3928430987,0.4375,0.5,0.4444444444,0.375,0.3823529412,FALSE,FALSE,FALSE,FALSE,FALSE,0.5071428571,0.555,2,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining water intake, you'll feel better.

Water consumption varies depending on how much you drink. But it's not always necessary to drink all that much water. Many people drink more water than they need. For those who are overweight",reward,water intake,0.8666666667,0.9302325581,0.5,0.4301441079,0.1285714286,0.5691489362,0.6943379201,0.2682926829,0.3149606299,0.5616438356,0.321888412,0.3633503736,0.375,0.6428571429,0.6666666667,0.5,0.5882352941,FALSE,FALSE,FALSE,FALSE,FALSE,0.5119047619,0.4833333333,2,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE
Great job with your meal planning!,praise,meal planning,0.004166666667,0,0,0.3899759556,0.07142857143,1,0.9080757952,0.07317073171,0.02422774076,0,0.2360515021,0.2756586709,0.125,0,0.1111111111,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,1,0.75,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"By maintaining water intake, you'll feel better. The water is absorbed through the roots and roots will drain.

Water retention is an important part of the system. It helps keep water fresh and clean. When water retention takes place, it's",reward,water intake,0.8583333333,0.9534883721,0.5,0.3908698491,0.1333333333,0.4375,0.6943379201,0.2682926829,0.1938219261,0.5616438356,0.3090128755,0.3476209202,0.6875,0.7142857143,0.3333333333,0.125,0.3529411765,FALSE,FALSE,FALSE,FALSE,FALSE,0.5523809524,0.72,2,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Try to improve your water intake by adding some water and mixing in the rest of your food. It's important to consider your intake of water during the cooking process as it can affect the flavor and texture of the food as well.

Water is",suggestion,water intake,0.8458333333,0.9534883721,0.25,0.3408118108,0.2857142857,0.296875,0.5283103993,0.6097560976,0.4778921866,0,0.4721030043,0.3153755407,0.6875,0.5,0.2222222222,0.25,0.1406649616,FALSE,FALSE,FALSE,TRUE,FALSE,0.5714285714,1,3,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,TRUE
"Try to improve your healthy eating by eating less carbs, and by avoiding processed foods, which are more calories, calories and fat.

5. Use less calories if you are looking for a healthier meal
, or if your health is not getting",suggestion,healthy eating,0.8166666667,0.9302325581,0.25,0.3406786777,0.2777777778,0.3776595745,0.646627566,0.487804878,0.4348879467,0,0.4935622318,0.3562721195,0.5,0.7142857143,0.4444444444,0.125,0.4576757532,FALSE,FALSE,TRUE,TRUE,FALSE,0.4047619048,0.2833333333,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
"By maintaining water intake, you'll feel better.

If you've ever been to a swimming pool, a pool with water, or even a waterfall, the water might be too hot to drink. That's because the temperature in the pool is",reward,water intake,0.7458333333,0.9534883721,0.25,0.2281812246,0.2857142857,0.34375,0.637040379,0.3841463415,0.38037553,0.602739726,0.3090128755,0.2756586709,0.5625,0.5714285714,0.1111111111,0.5,0.4117647059,FALSE,FALSE,FALSE,FALSE,FALSE,0.5535714286,0.675,2,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Don't forget to monitor your meal planning.

4. The best time to stop eating is now!
:
 (1) Take your time, enjoy yourself and enjoy your meals. (2) Be creative, but not do it alone",reminder,meal planning,0.6166666667,0.9069767442,0.5,0.09242600116,0.1238095238,0.5108695652,0.7840063163,0.2073170732,0.1562689279,0.4109589041,0.1759656652,0.160833661,0.3125,0.7142857143,0.2222222222,0.375,0.5764705882,FALSE,TRUE,TRUE,TRUE,FALSE,0.5071428571,0.66,1,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
